Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,sentiment_score_mean,positive_count,neutral_count,negative_count
2025-04-15,201.36710824854453,203.01307326666696,199.31214069618733,201.64642333984372,51343900,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,197.8756484915953,200.2099310657198,191.9002692932641,193.79563903808597,59732400,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-17,196.71848747425943,198.34451232255947,193.9452767059697,196.4990234375,52164700,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-21,192.79807124065383,193.32677585155807,189.3465132845993,192.68833923339844,46742500,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-22,195.64111763020085,201.097762433896,195.49148998245192,199.25228881835935,52976400,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-23,205.49700887470837,207.4921254657249,202.30482537338813,204.10043334960935,52929200,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-24,204.38970763388747,208.32008954356945,202.44447210591892,207.8612060546875,47311000,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-25,205.86608387594285,209.2378355121778,205.69650080604464,208.76898193359372,38222300,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-28,209.48723454234343,210.9835719319316,206.95344326011443,209.62689208984372,38743100,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-29,208.18042396697467,211.72175863443917,207.86119803545407,210.69427490234372,36827600,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-30,208.78894157113288,213.0584895980106,206.16535854293036,211.9811248779297,52286500,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,208.5694808389541,214.0360957896086,208.3899124386699,212.79913330078125,57365700,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-02,205.58677037884885,206.4845819118293,201.66637387157863,204.8485870361328,101010600,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-05,202.6040848015313,203.60164304236295,197.72602561272544,198.40435791015625,69018500,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-06,197.72601327833053,200.16004244803628,196.53891661034845,198.0252685546875,51216500,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-07,198.6836658614824,198.9530108388585,192.77812311451905,195.7707977294922,68536700,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-08,197.2372161152265,199.56152863729463,194.20463054641704,197.00778198242188,50478900,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-09,198.51409591462888,200.0503289543839,197.05765414160052,198.0452423095703,36453900,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-12,210.7308445260501,211.0305074927824,206.5156271207593,210.5510406494141,63775800,0.26,0.0,0.0,0.0,0.0,0.0
2025-05-13,210.19144790738707,213.1580823159532,208.76307628033237,212.6886138916016,51909300,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-14,212.18917192393891,213.69746987061376,210.34127831689767,212.08929443359372,49325800,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-15,210.71086343228012,212.7185946451233,209.30245815432872,211.21029663085935,45029500,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-16,212.11926693678467,212.32903558469047,209.53220664773164,211.0205078125,54737900,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-19,207.67431083672196,209.2425231134968,204.02843943795537,208.54331970214844,46140500,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-20,207.4345828831543,208.2336790492342,204.79757620413463,206.62550354003903,42496600,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21,204.93741112479617,206.8052863577864,200.4824756537251,201.86090087890625,59211800,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-22,200.4824720941681,202.52015274475195,199.4736073247078,201.13172912597656,46742400,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23,193.4504526925712,197.4758830409797,193.2406992850713,195.04864501953125,78432900,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-27,198.07520901450675,200.51244545494848,197.20618488735448,199.9830474853516,56288500,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-28,200.3626002526684,202.50017366149785,199.6733800230216,200.1927947998047,45339700,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-29,203.3492174371598,203.57895243464628,198.28495762525483,199.72332763671875,51396800,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-30,199.143981266816,201.73105672211125,196.55692105301176,200.622314453125,70819900,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-02,200.05295557621693,201.9008644592711,199.8931332988897,201.47134399414065,35423300,0.0,0.0,0.0,0.0,0.0,0.0
