Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,sentiment_score_mean,positive_count,neutral_count,negative_count,Daily_Return,MA_3,MA_7,Volatility_7,Lag_1_Close,Lag_1_Sentiment,Sentiment_MA_3,Sentiment_MA_7,Sentiment_Volatility_3
2025-04-25,187.6199951171875,189.94000244140625,185.4900054931641,188.9900054931641,36414300,0.0,0.0,0.0,0.0,0.0,0.0,1.3133978209558528,185.37666829427084,177.6528581891741,3.1072690729296903,186.5399932861328,0.0,0.0,0.0,0.0
2025-04-28,190.1100006103516,190.22000122070312,184.88999938964844,187.6999969482422,33224700,0.0,0.0,0.0,0.0,0.0,0.0,-0.6825802991833663,187.7433319091797,179.56285749162947,2.75759168915605,188.9900054931641,0.0,0.0,0.0,0.0
2025-04-29,183.9900054931641,188.0200042724609,183.67999267578125,187.38999938964844,41667300,0.0,0.0,0.0,0.0,0.0,0.0,-0.16515586767922308,188.02666727701822,181.67428588867188,2.6704095832606543,187.6999969482422,0.0,0.0,0.0,0.0
2025-04-30,182.1699981689453,185.0500030517578,178.85000610351562,184.4199981689453,55176500,0.0,0.0,0.0,0.0,0.0,0.0,-1.5849304820837684,186.50333150227866,184.1171417236328,2.30973763127416,187.38999938964844,0.0,0.0,0.0,0.0
2025-05-01,190.6300048828125,191.8099975585937,187.5,190.1999969482422,74266000,0.0,0.0,0.0,0.0,0.0,0.0,3.1341496782804956,187.33666483561197,186.54857090541296,2.2581042044194737,184.4199981689453,0.0,0.0,0.0,0.0
2025-05-02,191.44000244140625,192.8800048828125,186.3999938964844,189.97999572753903,77903500,0.0,0.0,0.0,0.0,0.0,0.0,-0.11566836184704332,188.1999969482422,187.88856942313058,1.8946763374565438,190.1999969482422,0.0,0.0,0.0,0.0
2025-05-05,186.509994506836,188.17999267578125,185.52999877929688,186.3500061035156,35217500,0.0,0.0,0.0,0.0,0.0,0.0,-1.910722026349243,188.84333292643228,187.8614283970424,1.7424754378066705,189.97999572753903,0.0,0.0,0.0,0.0
2025-05-06,184.57000732421875,187.92999267578125,183.8500061035156,185.009994506836,29314100,0.0,0.0,0.0,0.0,0.0,0.0,-0.7190832051463647,187.11333211263022,187.29285539899553,1.6539128938572993,186.3500061035156,0.0,0.0,0.0,0.0
2025-05-07,185.5599975585937,190.9900054931641,185.009994506836,188.7100067138672,43948600,0.0,0.0,0.0,0.0,0.0,0.0,1.99989855515319,186.69000244140625,187.43714250837053,1.8477396025504325,185.009994506836,0.0,0.0,0.0,0.0
2025-05-08,191.42999267578125,194.3300018310547,188.82000732421875,192.0800018310547,41043600,0.0,0.0,0.0,0.0,0.0,0.0,1.785806262143419,188.6000010172526,188.10714285714286,1.94709279908495,188.7100067138672,0.0,0.0,0.0,0.0
2025-05-09,193.3800048828125,194.69000244140625,191.16000366210932,193.0599975585937,29663100,0.0,0.0,0.0,0.0,0.0,0.0,0.5102018524557161,191.28333536783853,189.34142848423548,1.7472917986183123,192.0800018310547,0.0,0.0,0.0,0.0
